R01  70 0濃縮水タンクUVランプ                    h                   
R01  80 0排水回収RO膜                            h                   
R12  10 010μフィルタ                            h                   
R12  20 0カーボンフィルタ                        h                   
R12  30 0LRO膜                                   h                   
R12  40 0RO膜                                    h                   
R12  50 0エアフィルタ                            h                   
R12  60 0RO水タンクUVランプ                      h                   
R12  70 0濃縮水タンクUVランプ                    h                   
R12  80 0排水回収RO膜                            h                   
I01  10 0微粒子ろ過フィルタ運転時間              h                   
I01  20 0消耗品グループ運転時間                  h                   
I017030 0曜日                                    曜日                
I017054 0溶解回数                                                    
I017064 0袋数                                    袋                  
I017074 1濃度                                    mS/cm               
I017084 1液温度                                  ℃                  
I017094 0濃度判定                                                    
I017104 1給水流量                                L/min               
J01  10 0微粒子ろ過フィルタ運転時間              h                   
J01  20 0消耗品グループ運転時間                  h                   
